,Player,Sh,SoT,G/Sh,G/SoT,Cmp,Att_x,Cmp%,Tkl,Tkl,TklW_x,Blocks,Int_x,Tkl+Int,Clr,Err,Touches,Succ,Att_y,Succ%,Fls,Fld,Off,Crs,Int_y,TklW_y,PKwon,PKcon,OG,Won,Lost,Pos,Age,Club,MP,Starts,Min,90s,Gls,Gls,Ast,Ast,G-PK,G-PK,PK,CrdY,CrdR,Team
17,Steve Mandanda,0,0,,,19.0,31.0,61.3,0.0,0.0,0,0.0,0,0.0,0.0,0.0,32.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,37.0,1.fr Rennes,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,France
18,Benjamin Pavard,0,0,,,82.0,90.0,91.1,0.0,0.0,0,3.0,1,1.0,0.0,0.0,94.0,0.0,0.0,,0,0,0,1,1,0,0.0,0.0,0,0.0,0.0,DF,26.0,1.de Bayern Munich,1,1,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,France
19,Mattéo Guendouzi,0,0,,,27.0,33.0,81.8,1.0,0.0,1,0.0,0,1.0,0.0,0.0,36.0,0.0,0.0,,0,1,0,0,0,1,0.0,0.0,0,1.0,0.0,"FW,MF",23.0,1.fr Marseille,1,1,78.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,France
20,Jordan Veretout,0,0,,,33.0,36.0,91.7,2.0,1.0,0,0.0,0,2.0,2.0,0.0,43.0,0.0,0.0,,2,0,0,0,0,0,0.0,0.0,0,0.0,2.0,MF,29.0,1.fr Marseille,1,1,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,France
21,Lucas Hernández,0,0,,,5.0,10.0,50.0,1.0,1.0,1,0.0,0,1.0,0.0,0.0,10.0,0.0,0.0,,0,0,0,1,0,1,0.0,0.0,0,0.0,0.0,DF,26.0,1.de Bayern Munich,1,1,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,France
22,Marcus Thuram,1,0,0.0,,27.0,40.0,67.5,3.0,0.0,2,2.0,0,3.0,2.0,0.0,75.0,6.0,12.0,50.0,3,5,1,1,0,2,0.0,0.0,0,8.0,9.0,"FW,MF",24.0,1.de M'Gladbach,5,0,151.0,1.7,0.0,0.0,2.0,1.19,0.0,0.0,0.0,1.0,0.0,France
23,William Saliba,0,0,,,37.0,37.0,100.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,38.0,1.0,1.0,100.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,DF,21.0,1.eng Arsenal,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,France
0,Emiliano Martínez,0,0,,,120.0,187.0,64.2,0.0,0.0,0,0.0,0,0.0,4.0,0.0,196.0,0.0,0.0,,0,1,0,0,0,0,0.0,0.0,0,2.0,0.0,GK,29.0,1.eng Aston Villa,7,7,690.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Argentina
1,Lionel Messi,27,13,0.11,0.23,300.0,371.0,80.9,5.0,0.0,3,2.0,0,5.0,0.0,0.0,460.0,15.0,34.0,44.1,10,22,3,20,0,3,1.0,0.0,0,2.0,7.0,FW,34.0,1.fr Paris S-G,7,7,690.0,7.7,7.0,0.91,3.0,0.39,3.0,0.39,4.0,1.0,0.0,Argentina
2,Nicolás Otamendi,1,0,0.0,,532.0,577.0,92.2,10.0,5.0,6,6.0,9,19.0,24.0,0.0,639.0,0.0,0.0,,13,5,1,0,9,6,0.0,1.0,0,21.0,13.0,DF,34.0,1.pt Benfica,7,7,690.0,7.7,0.0,0.0,1.0,0.13,0.0,0.0,0.0,2.0,0.0,Argentina
3,Rodrigo De Paul,7,3,0.0,0.0,470.0,562.0,83.6,11.0,8.0,6,8.0,7,18.0,3.0,0.0,625.0,1.0,10.0,10.0,7,15,0,12,7,6,0.0,0.0,0,2.0,3.0,MF,28.0,1.es Atlético Madrid,7,7,599.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
4,Nahuel Molina,2,1,0.5,1.0,291.0,358.0,81.3,8.0,4.0,4,7.0,3,11.0,11.0,0.0,398.0,1.0,2.0,50.0,3,0,1,6,3,4,0.0,0.0,0,0.0,6.0,DF,24.0,1.es Atlético Madrid,7,6,567.0,6.3,1.0,0.16,1.0,0.16,1.0,0.16,0.0,0.0,0.0,Argentina
5,Alexis Mac Allister,7,4,0.14,0.25,234.0,265.0,88.3,9.0,4.0,4,13.0,3,12.0,6.0,0.0,333.0,4.0,9.0,44.4,1,13,0,1,3,4,0.0,0.0,0,5.0,13.0,MF,23.0,1.eng Brighton,6,6,550.0,6.1,1.0,0.16,1.0,0.16,1.0,0.16,0.0,0.0,0.0,Argentina
6,Cristian Romero,0,0,,,337.0,375.0,89.9,5.0,4.0,3,6.0,4,9.0,26.0,0.0,428.0,1.0,1.0,100.0,12,3,0,0,4,3,0.0,0.0,0,12.0,8.0,DF,24.0,1.eng Tottenham,7,6,547.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Argentina
7,Enzo Fernández,8,3,0.13,0.33,412.0,471.0,87.5,22.0,13.0,15,7.0,3,25.0,7.0,0.0,533.0,3.0,6.0,50.0,7,6,0,2,3,15,0.0,0.0,1,9.0,3.0,MF,21.0,1.pt Benfica,7,5,564.0,6.3,1.0,0.16,1.0,0.16,1.0,0.16,0.0,1.0,0.0,Argentina
8,Julián Álvarez,11,8,0.36,0.5,93.0,121.0,76.9,4.0,0.0,2,8.0,0,4.0,3.0,0.0,175.0,0.0,4.0,0.0,13,2,5,3,0,2,1.0,0.0,0,2.0,9.0,FW,22.0,1.eng Manchester City,7,5,464.0,5.2,4.0,0.78,0.0,0.0,4.0,0.78,0.0,0.0,0.0,Argentina
9,Marcos Acuña,2,0,0.0,,167.0,217.0,77.0,12.0,6.0,8,8.0,2,14.0,9.0,0.0,269.0,2.0,8.0,25.0,9,9,0,17,2,8,1.0,0.0,0,5.0,7.0,"DF,FW",30.0,1.es Sevilla,6,4,373.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Argentina
10,Ángel Di María,6,3,0.17,0.33,129.0,167.0,77.2,3.0,1.0,1,3.0,1,4.0,0.0,0.0,201.0,13.0,28.0,46.4,0,7,5,27,1,1,1.0,0.0,0,0.0,1.0,"MF,FW",34.0,1.it Juventus,5,4,288.0,3.2,1.0,0.31,1.0,0.31,1.0,0.31,0.0,0.0,0.0,Argentina
11,Nicolás Tagliafico,3,1,0.0,0.0,146.0,179.0,81.6,7.0,4.0,7,9.0,9,16.0,9.0,0.0,221.0,0.0,2.0,0.0,6,6,1,1,9,7,0.0,0.0,0,4.0,1.0,DF,29.0,1.fr Lyon,6,3,373.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
12,Lisandro Martínez,1,0,0.0,,133.0,156.0,85.3,6.0,2.0,2,3.0,3,9.0,14.0,0.0,188.0,0.0,1.0,0.0,2,3,0,1,3,2,0.0,0.0,0,3.0,3.0,DF,24.0,1.eng Manchester Utd,5,2,303.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Argentina
13,Lautaro Martínez,14,4,0.0,0.0,47.0,63.0,74.6,0.0,0.0,0,1.0,1,1.0,0.0,0.0,97.0,2.0,5.0,40.0,1,5,5,0,1,0,0.0,0.0,0,6.0,6.0,FW,24.0,1.it Inter,6,2,241.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
14,Leandro Paredes,1,1,0.0,0.0,230.0,246.0,93.5,10.0,3.0,4,0.0,3,13.0,4.0,0.0,269.0,0.0,1.0,0.0,6,5,0,0,3,4,1.0,0.0,0,4.0,0.0,MF,27.0,1.it Juventus,5,2,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Argentina
15,Papu Gómez,2,0,0.0,,53.0,60.0,88.3,2.0,0.0,0,1.0,1,3.0,0.0,0.0,69.0,1.0,2.0,50.0,1,5,1,1,1,0,0.0,0.0,0,1.0,0.0,"MF,FW",34.0,1.es Sevilla,2,2,107.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
